Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Vehicle Class,Fuel Type
3.3,6,11.1,25,255,SUV - SMALL,X
2.0,4,9.0,31,207,STATION WAGON - SMALL,X
2.0,4,11.3,25,260,SUV - SMALL,X
6.5,12,17.9,16,412,TWO-SEATER,Z
6.5,12,19.7,14,453,TWO-SEATER,Z
5.2,10,14.5,19,334,TWO-SEATER,Z
6.5,12,18.4,15,423,TWO-SEATER,Z
3.0,6,14.3,20,329,SUV - STANDARD,Z
2.0,4,9.7,29,223,SUV - SMALL,Z
1.8,4,5.7,50,131,COMPACT,X
2.5,4,5.9,48,136,MID-SIZE,X
3.5,6,10.6,27,244,MID-SIZE,Z
2.5,6,9.6,29,221,COMPACT,Z
2.5,6,9.6,29,221,SUBCOMPACT,Z
5.0,8,11.5,25,264,MID-SIZE,Z
5.7,8,16.6,17,382,SUV - STANDARD,Z
2.0,4,9.6,29,221,SUV - SMALL,Z
2.5,4,7.4,38,170,SUV - SMALL,X
3.5,6,11.0,26,253,SUBCOMPACT,Z
2.0,4,10.9,26,251,SUV - SMALL,X
2.3,4,11.2,25,258,SUV - SMALL,X
3.7,6,11.2,25,258,FULL-SIZE,X
2.0,4,10.1,28,232,SPECIAL PURPOSE VEHICLE,X
3.7,6,12.1,23,278,SUV - SMALL,X
3.7,6,11.3,25,260,MID-SIZE,X
2.0,4,5.8,49,133,MID-SIZE,X
3.0,6,12.8,22,294,MID-SIZE,Z
4.7,8,15.2,19,350,SUBCOMPACT,Z
3.0,6,13.0,22,299,FULL-SIZE,Z
3.7,6,12.7,22,292,SUV - SMALL,X
2.5,4,7.2,39,166,COMPACT,X
2.5,4,8.0,35,184,COMPACT,X
2.0,4,7.0,40,161,MID-SIZE,X
2.5,4,7.2,39,166,MID-SIZE,X
2.5,4,9.6,29,221,MINIVAN,X
2.0,4,10.1,28,232,TWO-SEATER,Z
2.0,4,8.9,32,205,STATION WAGON - SMALL,Z
6.2,8,15.4,18,354,SUBCOMPACT,Z
2.0,4,8.1,35,186,SUBCOMPACT,Z
2.0,4,8.8,32,202,SUBCOMPACT,Z
3.0,6,10.5,27,242,COMPACT,Z
4.7,8,12.5,23,288,COMPACT,Z
2.1,4,7.4,38,200,MID-SIZE,D
3.0,6,10.4,27,239,MID-SIZE,Z
3.5,6,10.8,26,248,STATION WAGON - MID-SIZE,Z
3.5,6,10.0,28,230,SUBCOMPACT,Z
4.7,8,11.4,25,262,MID-SIZE,Z
5.5,8,13.3,21,306,MID-SIZE,Z
5.5,8,13.3,21,306,STATION WAGON - MID-SIZE,Z
5.5,8,18.5,15,426,SUV - STANDARD,Z
3.0,6,14.0,20,322,SUV - STANDARD,Z
5.5,8,16.3,17,375,SUV - STANDARD,Z
2.0,4,8.7,32,200,SUV - SMALL,Z
2.0,4,9.4,30,216,STATION WAGON - MID-SIZE,Z
3.5,6,11.2,25,258,SUV - SMALL,Z
3.0,6,12.0,24,276,SUV - STANDARD,Z
5.5,8,15.6,18,359,SUV - STANDARD,Z
4.7,6,10.8,26,248,MID-SIZE,Z
4.7,8,12.3,23,283,COMPACT,Z
4.7,8,12.5,23,288,FULL-SIZE,Z
4.7,8,12.2,23,281,MID-SIZE,Z
6.0,12,14.9,19,343,FULL-SIZE,Z
5.5,8,13.2,21,304,COMPACT,Z
6.0,12,15.5,18,357,FULL-SIZE,Z
6.0,12,15.0,19,345,COMPACT,Z
4.7,8,11.9,24,274,TWO-SEATER,Z
5.5,8,12.4,23,285,TWO-SEATER,Z
6.0,12,14.2,20,327,TWO-SEATER,Z
5.5,8,10.6,27,244,TWO-SEATER,Z
6.2,8,15.6,18,359,TWO-SEATER,Z
1.5,3,7.5,38,172,SUBCOMPACT,Z
1.5,3,7.1,40,163,SUBCOMPACT,Z
1.5,3,7.2,39,166,SUBCOMPACT,Z
1.6,4,7.7,37,177,MINICOMPACT,Z
1.6,4,7.5,38,172,MINICOMPACT,Z
1.6,4,7.5,38,172,COMPACT,Z
1.6,4,7.7,37,177,TWO-SEATER,Z
1.6,4,7.5,38,172,TWO-SEATER,Z
2.0,4,8.2,34,189,SUBCOMPACT,Z
1.6,4,8.1,35,186,MINICOMPACT,Z
1.6,4,8.1,35,186,TWO-SEATER,Z
2.0,4,9.2,31,212,SUBCOMPACT,Z
2.4,4,9.5,30,219,COMPACT,X
1.2,3,5.9,48,136,COMPACT,X
3.0,6,10.1,28,232,SUV - SMALL,Z
2.0,4,8.4,34,193,SUV - SMALL,X
2.4,4,9.6,29,221,SUV - SMALL,X
3.7,6,11.1,25,255,TWO-SEATER,Z
3.7,6,11.8,24,271,TWO-SEATER,Z
3.5,6,9.0,31,207,MID-SIZE,X
5.6,8,16.6,17,382,SUV - STANDARD,X
3.8,6,12.6,22,290,SUBCOMPACT,Z
1.6,4,7.9,36,182,STATION WAGON - SMALL,X
1.6,4,7.7,37,177,STATION WAGON - SMALL,X
1.6,4,8.2,34,189,STATION WAGON - SMALL,X
1.6,4,8.3,34,191,STATION WAGON - SMALL,Z
1.6,4,8.8,32,202,STATION WAGON - SMALL,Z
1.6,4,7.8,36,179,COMPACT,X
3.5,6,9.8,29,225,STATION WAGON - MID-SIZE,X
3.5,6,9.9,29,228,STATION WAGON - MID-SIZE,X
3.5,6,10.4,27,239,SUV - SMALL,X
3.5,6,10.5,27,242,MINIVAN,X
2.5,4,8.5,33,196,SUV - SMALL,X
5.6,8,16.1,18,370,PICKUP TRUCK - STANDARD,X
5.6,8,17.2,16,396,PICKUP TRUCK - STANDARD,X
1.8,4,7.2,39,166,MID-SIZE,X
1.6,4,6.8,42,156,COMPACT,X
4.0,6,14.4,20,331,SUV - SMALL,X
3.4,6,10.6,27,244,MINICOMPACT,Z
3.4,6,10.2,28,235,MINICOMPACT,Z
3.4,6,10.9,26,251,MINICOMPACT,Z
3.8,6,11.1,25,255,MINICOMPACT,Z
3.8,6,11.3,25,260,MINICOMPACT,Z
3.8,6,11.4,25,262,MINICOMPACT,Z
3.8,6,11.6,24,267,MINICOMPACT,Z
3.8,6,10.5,27,242,MINICOMPACT,Z
3.4,6,10.8,26,248,MINICOMPACT,Z
3.4,6,11.1,25,255,MINICOMPACT,Z
3.4,6,9.5,30,218,TWO-SEATER,Z
3.4,6,10.7,26,246,TWO-SEATER,Z
3.6,6,12.2,23,286,SUV - STANDARD,Z
4.8,8,14.2,20,327,SUV - STANDARD,Z
3.6,6,12.3,23,283,SUV - SMALL,Z
3.0,6,11.4,25,262,FULL-SIZE,Z
3.0,6,10.1,28,273,PICKUP TRUCK - STANDARD,D
3.0,6,9.8,29,265,PICKUP TRUCK - STANDARD,D
2.4,4,9.8,29,225,SPECIAL PURPOSE VEHICLE,X
6.6,12,16.1,18,370,FULL-SIZE,Z
6.7,12,17.2,16,396,FULL-SIZE,Z
6.7,12,17.2,16,396,COMPACT,Z
1.3,4,6.4,44,147,MINICOMPACT,X
2.4,4,9.8,29,225,STATION WAGON - SMALL,X
1.0,3,6.5,43,150,TWO-SEATER,Z
2.0,4,9.4,30,216,SUV - SMALL,Z
2.5,4,8.7,32,200,SUV - SMALL,X
2.5,4,9.6,29,221,SUV - SMALL,X
2.0,4,7.6,37,175,COMPACT,X
2.0,4,7.6,37,175,STATION WAGON - SMALL,X
2.0,4,8.4,34,193,STATION WAGON - SMALL,X
2.5,4,7.9,36,182,MID-SIZE,X
2.5,4,9.4,30,216,MID-SIZE,X
3.6,6,10.5,27,242,SUV - SMALL,X
2.0,4,11.1,25,255,COMPACT,Z
2.5,4,12.2,23,281,COMPACT,Z
2.0,4,8.1,35,186,SUV - SMALL,X
2.0,4,7.5,38,173,SUV - SMALL,X
4.0,6,12.8,22,294,SUV - STANDARD,X
2.5,4,8.4,34,193,MID-SIZE,X
3.5,6,9.5,30,218,MID-SIZE,X
2.7,4,10.7,26,246,SUV - SMALL,X
3.5,6,8.5,33,196,SUV - STANDARD,X
3.5,6,8.4,34,193,SUV - STANDARD,X
1.8,4,4.7,60,108,MID-SIZE,X
1.5,4,4.8,59,110,COMPACT,X
1.8,4,5.6,50,129,STATION WAGON - MID-SIZE,X
5.7,8,16.6,17,382,SUV - STANDARD,X
3.5,6,11.4,25,262,MINIVAN,X
3.5,6,12.5,23,288,MINIVAN,X
2.7,4,11.2,25,258,PICKUP TRUCK - SMALL,X
2.7,4,10.5,27,242,PICKUP TRUCK - SMALL,X
2.7,4,12.3,23,283,PICKUP TRUCK - SMALL,X
4.0,6,13.4,21,308,PICKUP TRUCK - SMALL,X
5.7,8,15.2,19,350,PICKUP TRUCK - STANDARD,X
5.7,8,16.6,17,382,PICKUP TRUCK - STANDARD,X
2.7,4,10.4,27,239,SUV - SMALL,X
3.5,6,10.9,26,251,SUV - SMALL,X
2.7,4,10.5,27,242,SUV - SMALL,X
2.0,4,6.9,41,183,COMPACT,D
2.0,4,6.9,41,184,COMPACT,D
3.6,6,11.8,24,271,COMPACT,Z
2.0,4,9.5,30,219,SUBCOMPACT,Z
1.8,4,8.1,35,186,COMPACT,X
2.0,4,6.5,43,177,COMPACT,D
2.0,4,6.5,43,178,COMPACT,D
1.8,4,8.2,34,193,STATION WAGON - SMALL,X
2.0,4,6.7,42,180,STATION WAGON - SMALL,D
2.0,4,6.7,42,179,STATION WAGON - SMALL,D
2.0,4,6.5,43,175,COMPACT,D
2.0,4,6.5,43,176,COMPACT,D
1.4,4,5.3,53,122,COMPACT,Z
1.8,4,8.4,34,193,MID-SIZE,X
2.0,4,6.9,41,185,MID-SIZE,D
2.0,4,6.7,42,182,MID-SIZE,D
3.6,6,10.4,27,239,MID-SIZE,Z
2.0,4,10.5,27,242,SUV - SMALL,Z
2.0,4,11.2,25,258,SUV - SMALL,Z
3.6,6,12.4,23,292,SUV - STANDARD,Z
3.0,6,11.0,26,253,COMPACT,X
3.0,6,11.2,25,258,COMPACT,X
3.0,6,11.2,25,258,MID-SIZE,X
2.5,5,10.3,27,237,SUV - SMALL,X
2.5,5,10.1,28,232,STATION WAGON - SMALL,X
3.0,6,11.2,25,258,STATION WAGON - SMALL,X
2.5,5,11.4,25,262,SUV - SMALL,X
3.0,6,11.9,24,274,SUV - SMALL,X
2.4,4,8.1,35,189,COMPACT,Z
3.5,6,11.1,25,254,SUV - SMALL,Z
3.5,6,10.7,26,251,SUV - SMALL,Z
3.5,6,10.7,26,249,SUV - SMALL,Z
3.5,6,10.0,28,235,MID-SIZE,Z
3.5,6,7.7,37,180,MID-SIZE,Z
2.4,4,8.3,34,196,COMPACT,Z
3.5,6,9.6,29,226,COMPACT,Z
1.8,4,8.4,34,197,TWO-SEATER,Z
5.9,12,15.6,18,365,MINICOMPACT,Z
6.0,12,14.2,20,332,SUBCOMPACT,Z
6.0,12,14.8,19,346,MINICOMPACT,Z
4.7,8,14.7,19,343,TWO-SEATER,Z
4.7,8,15.5,18,362,TWO-SEATER,Z
6.0,12,16.5,17,390,TWO-SEATER,Z
1.8,4,8.7,32,204,SUBCOMPACT,X
2.0,4,8.6,33,201,SUBCOMPACT,X
2.0,4,8.9,32,208,SUBCOMPACT,X
2.0,4,8.9,32,212,COMPACT,Z
2.0,4,9.6,29,224,COMPACT,Z
2.0,4,9.1,31,214,COMPACT,Z
2.0,4,9.9,29,232,STATION WAGON - SMALL,Z
2.0,4,9.6,29,224,SUBCOMPACT,Z
2.0,4,9.1,31,214,SUBCOMPACT,Z
2.0,4,9.8,29,230,SUBCOMPACT,Z
2.0,4,9.2,31,211,MID-SIZE,Z
3.0,6,9.9,29,232,MID-SIZE,Z
3.0,6,7.8,36,213,MID-SIZE,D
3.0,6,10.5,27,247,MID-SIZE,Z
4.0,8,10.7,26,249,MID-SIZE,Z
4.0,8,10.9,26,255,FULL-SIZE,Z
2.0,4,10.3,27,242,COMPACT,Z
2.0,4,10.3,27,240,COMPACT,Z
2.0,4,10.4,27,244,SUV - SMALL,Z
3.0,6,11.4,25,267,SUV - SMALL,Z
2.0,4,8.9,32,209,SUV - SMALL,Z
2.0,4,9.0,31,211,SUBCOMPACT,Z
3.0,6,11.0,26,257,COMPACT,Z
3.0,6,11.7,24,273,COMPACT,Z
3.0,6,11.0,26,257,SUBCOMPACT,Z
3.0,6,11.7,24,273,SUBCOMPACT,Z
3.0,6,11.4,25,266,SUBCOMPACT,Z
4.0,8,11.3,25,263,MID-SIZE,Z
4.0,8,11.4,25,265,MID-SIZE,Z
3.0,6,12.2,23,285,SUV - SMALL,Z
2.0,4,9.1,31,209,SUBCOMPACT,X
2.0,4,9.1,31,209,TWO-SEATER,X
2.0,4,9.5,30,222,SUBCOMPACT,Z
6.0,12,15.4,18,360,COMPACT,Z
6.0,12,16.0,18,375,SUBCOMPACT,Z
6.8,8,17.5,16,408,MID-SIZE,Z
2.0,4,8.4,34,197,SUBCOMPACT,Z
2.0,4,8.8,32,207,SUBCOMPACT,Z
2.0,4,8.9,32,209,SUBCOMPACT,Z
2.0,4,8.4,34,197,COMPACT,Z
2.0,4,9.0,31,211,COMPACT,Z
2.0,4,8.8,32,207,COMPACT,Z
2.0,4,6.8,42,183,COMPACT,D
2.0,4,6.8,42,183,STATION WAGON - SMALL,D
2.0,4,8.9,32,209,COMPACT,Z
2.0,4,8.9,32,209,FULL-SIZE,Z
2.0,4,8.9,32,209,STATION WAGON - SMALL,Z
3.0,6,10.2,28,238,FULL-SIZE,Z
3.0,6,9.3,30,217,COMPACT,Z
3.0,6,9.9,29,231,COMPACT,Z
3.0,6,9.3,30,216,COMPACT,Z
3.0,6,10.3,27,241,COMPACT,Z
2.0,4,8.9,32,211,SUBCOMPACT,Z
2.0,4,8.9,32,211,COMPACT,Z
2.0,4,9.0,31,210,COMPACT,Z
2.0,4,9.4,30,221,SUBCOMPACT,Z
3.0,6,9.9,29,232,SUBCOMPACT,Z
3.0,6,9.9,29,232,COMPACT,Z
3.0,6,10.5,27,246,COMPACT,Z
3.0,6,10.2,28,238,SUBCOMPACT,Z
3.0,6,10.2,28,238,COMPACT,Z
3.0,6,10.5,27,247,COMPACT,Z
2.0,4,8.9,32,209,MID-SIZE,Z
3.0,6,7.9,36,212,MID-SIZE,D
3.0,6,10.2,28,238,MID-SIZE,Z
3.0,6,11.2,25,263,FULL-SIZE,Z
4.4,8,12.3,23,288,MID-SIZE,Z
4.4,8,12.1,23,283,FULL-SIZE,Z
4.4,8,12.1,23,283,SUBCOMPACT,Z
4.4,8,12.3,23,288,COMPACT,Z
4.4,8,12.1,23,283,COMPACT,Z
3.0,6,9.4,30,219,MID-SIZE,Z
3.0,6,10.4,27,244,SUBCOMPACT,Z
3.0,6,11.1,25,260,SUBCOMPACT,Z
3.0,6,10.4,27,245,SUBCOMPACT,Z
3.0,6,10.5,27,246,SUBCOMPACT,Z
3.0,6,12.1,23,284,COMPACT,Z
3.0,6,11.6,24,271,COMPACT,Z
3.0,6,12.1,23,282,SUBCOMPACT,Z
3.0,6,11.8,24,278,SUBCOMPACT,Z
4.4,8,14.7,19,344,MID-SIZE,Z
4.4,8,13.7,21,321,MID-SIZE,Z
4.4,8,14.7,19,344,COMPACT,Z
4.4,8,13.7,21,321,COMPACT,Z
4.4,8,14.7,19,344,SUBCOMPACT,Z
4.4,8,13.7,21,321,SUBCOMPACT,Z
2.0,4,9.2,31,215,SUV - SMALL,Z
2.0,4,7.9,36,211,SUV - SMALL,D
2.0,4,9.9,29,231,SUV - SMALL,Z
3.0,6,10.9,26,257,SUV - SMALL,Z
3.0,6,11.3,25,264,SUV - SMALL,Z
2.0,4,10.2,28,238,SUV - SMALL,Z
4.4,8,14.6,19,343,SUV - STANDARD,Z
3.0,6,8.9,32,233,SUV - STANDARD,D
3.0,6,11.5,25,269,SUV - STANDARD,Z
4.4,8,13.8,20,322,SUV - STANDARD,Z
2.0,4,9.1,31,212,TWO-SEATER,Z
2.0,4,9.0,31,211,TWO-SEATER,Z
3.0,6,12.1,23,282,TWO-SEATER,Z
3.6,6,13.4,21,315,SUV - STANDARD,X
3.6,6,13.7,21,323,SUV - STANDARD,X
1.4,4,8.5,33,199,SUV - SMALL,X
1.4,4,9.2,31,215,SUV - SMALL,X
1.4,4,7.8,36,182,SUV - SMALL,X
1.4,4,8.2,34,192,SUV - SMALL,X
2.0,4,10.6,27,248,SUV - SMALL,Z
3.6,6,11.4,25,268,MID-SIZE,X
3.6,6,15.8,18,260,MID-SIZE,E
2.4,4,8.2,34,193,MID-SIZE,X
3.6,6,11.7,24,274,MID-SIZE,X
3.6,6,15.8,18,263,MID-SIZE,E
2.0,4,9.8,29,231,MID-SIZE,Z
2.0,4,9.8,29,230,MID-SIZE,Z
2.0,4,10.7,26,252,MID-SIZE,Z
2.0,4,9.8,29,231,COMPACT,Z
2.0,4,9.8,29,230,COMPACT,Z
2.4,4,9.6,29,224,COMPACT,X
2.0,4,9.2,31,215,COMPACT,Z
2.5,4,9.1,31,214,COMPACT,X
3.6,6,9.9,29,233,COMPACT,X
2.0,4,9.4,30,221,COMPACT,Z
3.6,6,10.5,27,247,COMPACT,X
3.6,6,12.5,23,293,COMPACT,Z
3.6,6,12.4,23,289,COMPACT,Z
2.0,4,9.5,30,222,FULL-SIZE,Z
3.6,6,11.0,26,257,FULL-SIZE,X
2.0,4,9.5,30,221,MID-SIZE,Z
3.6,6,9.9,29,233,MID-SIZE,X
2.0,4,9.8,29,229,MID-SIZE,Z
3.6,6,10.5,27,247,MID-SIZE,X
3.6,6,12.5,23,293,MID-SIZE,Z
6.2,8,14.1,20,332,MID-SIZE,Z
6.2,8,13.9,20,325,SUV - STANDARD,Z
3.6,6,12.3,23,287,SUV - STANDARD,X
3.6,6,12.8,22,300,SUV - STANDARD,X
3.6,6,11.3,25,263,FULL-SIZE,X
3.6,6,11.6,24,273,FULL-SIZE,X
3.6,6,12.8,22,302,FULL-SIZE,Z
2.0,4,9.3,30,218,COMPACT,Z
2.0,4,9.8,29,229,COMPACT,Z
3.6,6,10.6,27,248,COMPACT,X
3.6,6,11.2,25,261,COMPACT,X
6.2,8,11.6,24,272,COMPACT,Z
6.2,8,12.1,23,284,COMPACT,Z
2.0,4,9.4,30,220,SPECIAL PURPOSE VEHICLE,X
2.5,4,10.5,27,247,PICKUP TRUCK - SMALL,X
2.5,4,10.8,26,253,PICKUP TRUCK - SMALL,X
2.8,4,9.4,30,252,PICKUP TRUCK - SMALL,D
3.6,6,11.3,25,265,PICKUP TRUCK - SMALL,X
2.5,4,11.3,25,265,PICKUP TRUCK - SMALL,X
2.8,4,10.3,27,277,PICKUP TRUCK - SMALL,D
3.6,6,11.9,24,279,PICKUP TRUCK - SMALL,X
6.2,8,11.7,24,275,TWO-SEATER,Z
6.2,8,11.2,25,263,TWO-SEATER,Z
6.2,8,14.3,20,335,TWO-SEATER,Z
6.2,8,13.4,21,313,TWO-SEATER,Z
1.4,4,6.8,42,159,COMPACT,X
1.4,4,7.1,40,167,COMPACT,X
1.4,4,6.9,41,160,COMPACT,X
1.4,4,7.8,36,184,MID-SIZE,X
1.4,4,7.8,36,182,MID-SIZE,X
1.8,4,8.8,32,207,MID-SIZE,X
1.8,4,8.1,35,190,MID-SIZE,X
1.4,4,7.7,37,181,MID-SIZE,X
1.4,4,7.1,40,167,MID-SIZE,X
2.4,4,9.1,31,214,SUV - SMALL,X
3.6,6,12.1,23,285,SUV - SMALL,X
2.4,4,13.4,21,221,SUV - SMALL,E
2.4,4,10.0,28,235,SUV - SMALL,X
3.6,6,12.8,22,300,SUV - SMALL,X
2.4,4,14.2,20,236,SUV - SMALL,E
6.0,8,18.8,15,441,VAN - PASSENGER,X
6.0,8,19.8,14,465,VAN - PASSENGER,X
2.5,4,9.2,31,215,FULL-SIZE,X
3.6,6,10.6,27,248,FULL-SIZE,X
3.6,6,14.5,19,239,FULL-SIZE,E
3.6,6,11.9,24,272,MID-SIZE,X
3.6,6,12.7,22,213,MID-SIZE,N
1.5,4,7.6,37,179,MID-SIZE,X
2.0,4,9.0,31,211,MID-SIZE,Z
2.5,4,8.6,33,202,MID-SIZE,X
1.8,4,5.1,55,122,MID-SIZE,X
5.3,8,12.7,22,298,PICKUP TRUCK - STANDARD,X
6.2,8,14.0,20,328,PICKUP TRUCK - STANDARD,Z
4.3,6,11.9,24,280,PICKUP TRUCK - STANDARD,X
4.3,6,17.1,17,284,PICKUP TRUCK - STANDARD,E
5.3,8,17.2,16,286,PICKUP TRUCK - STANDARD,E
5.3,8,13.1,22,307,PICKUP TRUCK - STANDARD,X
6.2,8,14.2,20,332,PICKUP TRUCK - STANDARD,Z
4.3,6,12.6,22,296,PICKUP TRUCK - STANDARD,X
4.3,6,18.1,16,301,PICKUP TRUCK - STANDARD,E
5.3,8,13.1,22,306,PICKUP TRUCK - STANDARD,X
5.3,8,17.8,16,295,PICKUP TRUCK - STANDARD,E
5.3,8,13.0,22,304,PICKUP TRUCK - STANDARD,X
1.4,4,8.0,35,188,COMPACT,X
1.4,4,7.5,38,175,COMPACT,X
1.8,4,8.3,34,195,COMPACT,X
1.8,4,8.0,35,187,COMPACT,X
1.4,4,8.4,34,195,COMPACT,X
1.4,4,8.0,35,189,COMPACT,X
1.4,4,8.0,35,188,STATION WAGON - SMALL,X
1.4,4,7.5,38,175,STATION WAGON - SMALL,X
1.8,4,8.3,34,195,STATION WAGON - SMALL,X
1.8,4,8.0,35,187,STATION WAGON - SMALL,X
1.4,4,8.4,34,195,STATION WAGON - SMALL,X
1.4,4,8.0,35,189,STATION WAGON - SMALL,X
1.4,4,6.7,42,157,SUBCOMPACT,X
1.4,4,6.9,41,162,SUBCOMPACT,X
5.3,8,13.0,22,304,SUV - STANDARD,X
5.3,8,17.6,16,288,SUV - STANDARD,E
5.3,8,13.3,21,312,SUV - STANDARD,X
5.3,8,19.1,15,317,SUV - STANDARD,E
5.3,8,13.2,21,310,SUV - STANDARD,X
5.3,8,18.0,16,300,SUV - STANDARD,E
1.4,4,8.2,34,193,SUV - SMALL,X
1.4,4,8.1,35,190,SUV - SMALL,X
1.4,4,8.7,32,205,SUV - SMALL,X
2.4,4,8.5,33,198,MID-SIZE,X
2.4,4,11.3,25,186,MID-SIZE,E
3.6,6,10.2,28,239,MID-SIZE,X
3.6,6,13.6,21,225,MID-SIZE,E
3.6,6,10.7,26,250,MID-SIZE,X
3.6,6,14.1,20,232,MID-SIZE,E
3.6,6,10.3,27,240,FULL-SIZE,X
3.6,6,13.9,20,229,FULL-SIZE,E
5.7,8,12.3,23,289,FULL-SIZE,X
3.6,6,10.9,26,257,FULL-SIZE,X
3.6,6,14.8,19,243,FULL-SIZE,E
3.6,6,12.0,24,282,MINIVAN,X
3.6,6,16.8,17,279,MINIVAN,E
3.6,6,10.3,27,242,MID-SIZE,X
5.7,8,13.1,22,307,MID-SIZE,X
6.4,8,13.9,20,326,MID-SIZE,Z
5.7,8,12.3,23,289,MID-SIZE,X
6.4,8,12.9,22,302,MID-SIZE,Z
6.2,8,14.5,19,339,MID-SIZE,Z
6.2,8,15.1,19,353,MID-SIZE,Z
3.6,6,11.5,25,271,FULL-SIZE,X
3.6,6,15.9,18,264,FULL-SIZE,E
5.7,8,12.9,22,302,FULL-SIZE,X
6.4,8,12.9,22,302,FULL-SIZE,Z
5.7,8,13.4,21,313,FULL-SIZE,X
6.2,8,14.5,19,339,FULL-SIZE,Z
2.0,4,8.1,35,189,MID-SIZE,X
2.4,4,8.6,33,202,MID-SIZE,X
2.4,4,8.8,32,205,MID-SIZE,X
2.0,4,8.6,33,201,MID-SIZE,X
2.0,4,11.5,25,187,MID-SIZE,E
2.4,4,9.2,31,215,MID-SIZE,X
2.4,4,8.8,32,207,MID-SIZE,X
1.4,4,7.3,39,171,MID-SIZE,X
3.6,6,11.3,25,265,SUV - STANDARD,X
5.7,8,14.0,20,329,SUV - STANDARD,X
3.6,6,11.8,24,276,MINIVAN,X
3.6,6,16.4,17,269,MINIVAN,E
2.4,4,11.1,25,260,SUV - SMALL,X
3.6,6,12.1,23,283,SUV - SMALL,X
3.6,6,16.2,17,270,SUV - SMALL,E
3.6,6,12.4,23,292,SUV - SMALL,X
8.4,10,15.6,18,364,TWO-SEATER,Z
1.4,4,7.9,36,183,MINICOMPACT,X
1.4,4,7.2,39,168,MINICOMPACT,X
1.4,4,6.8,42,160,MINICOMPACT,X
1.4,4,8.6,33,200,MINICOMPACT,X
1.4,4,7.8,36,183,MINICOMPACT,X
1.4,4,9.4,30,218,STATION WAGON - SMALL,X
1.4,4,8.7,32,203,STATION WAGON - SMALL,X
1.4,4,8.3,34,194,STATION WAGON - SMALL,X
1.4,4,8.3,34,194,SUV - SMALL,X
2.4,4,9.3,30,217,SUV - SMALL,X
2.4,4,9.6,29,224,SUV - SMALL,X
2.0,4,6.0,47,140,FULL-SIZE,X
2.0,4,9.8,29,231,SUV - SMALL,X
2.0,4,9.8,29,228,SUV - SMALL,X
3.5,6,11.4,25,268,SUV - SMALL,X
2.0,4,10.3,27,240,SUV - SMALL,X
2.7,6,11.9,24,278,SUV - SMALL,X
3.5,6,11.8,24,278,SUV - SMALL,X
1.6,4,8.9,32,208,SUV - SMALL,X
2.0,4,9.6,29,224,SUV - SMALL,X
2.5,4,9.4,30,220,SUV - SMALL,X
1.6,4,9.4,30,220,SUV - SMALL,X
2.0,4,10.0,28,236,SUV - SMALL,X
3.5,6,14.3,20,334,SUV - STANDARD,X
3.5,6,14.4,20,338,SUV - STANDARD,X
2.3,4,10.8,26,253,SUV - STANDARD,X
3.5,6,12.0,24,280,SUV - STANDARD,X
3.5,6,16.1,18,264,SUV - STANDARD,E
2.3,4,11.3,25,265,SUV - STANDARD,X
3.5,6,13.0,22,305,SUV - STANDARD,X
3.5,6,12.6,22,295,SUV - STANDARD,X
3.5,6,17.2,16,282,SUV - STANDARD,E
2.7,6,10.9,26,256,PICKUP TRUCK - STANDARD,X
3.5,6,11.9,24,278,PICKUP TRUCK - STANDARD,X
2.7,6,11.2,25,263,PICKUP TRUCK - STANDARD,X
3.5,6,12.9,22,303,PICKUP TRUCK - STANDARD,X
3.5,6,11.6,24,272,PICKUP TRUCK - STANDARD,X
3.5,6,15.7,18,261,PICKUP TRUCK - STANDARD,E
5.0,8,13.2,21,309,PICKUP TRUCK - STANDARD,X
5.0,8,17.8,16,292,PICKUP TRUCK - STANDARD,E
5.0,8,14.5,19,341,PICKUP TRUCK - STANDARD,X
5.0,8,17.8,16,293,PICKUP TRUCK - STANDARD,E
2.7,6,11.7,24,275,PICKUP TRUCK - STANDARD,X
2.7,6,12.3,23,288,PICKUP TRUCK - STANDARD,X
3.5,6,13.8,20,324,PICKUP TRUCK - STANDARD,X
3.5,6,12.5,23,292,PICKUP TRUCK - STANDARD,X
3.5,6,16.9,17,278,PICKUP TRUCK - STANDARD,E
5.0,8,13.8,20,324,PICKUP TRUCK - STANDARD,X
5.0,8,18.7,15,306,PICKUP TRUCK - STANDARD,E
5.0,8,14.8,19,347,PICKUP TRUCK - STANDARD,X
5.0,8,18.8,15,310,PICKUP TRUCK - STANDARD,E
1.6,4,7.6,37,180,SUBCOMPACT,X
1.6,4,7.6,37,179,SUBCOMPACT,X
1.0,3,6.6,43,153,SUBCOMPACT,X
1.6,4,8.1,35,191,COMPACT,X
3.5,6,12.7,22,298,SUV - STANDARD,X
3.5,6,12.9,22,303,SUV - STANDARD,X
3.5,6,13.7,21,322,SUV - STANDARD,X
1.0,3,7.3,39,171,COMPACT,X
1.0,3,6.8,42,160,COMPACT,X
2.0,4,7.6,37,178,COMPACT,X
2.0,4,10.3,27,170,COMPACT,E
2.0,4,7.8,36,183,COMPACT,X
2.0,4,10.5,27,175,COMPACT,E
2.0,4,8.0,35,188,COMPACT,X
2.0,4,10.8,26,179,COMPACT,E
2.3,4,10.9,26,255,MID-SIZE,Z
